resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
11100,1148,34,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,5,0.42,613,2,2,1,1,5033.131999894977
11100,1148,34,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,7,0.44,560,2,2,1,3,6266.415999736637
11100,1148,34,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,8,0.46,393,1,2,0,4,6833.05999962613
11100,1148,34,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,6,0.48,608,2,2,1,2,5649.773999815807
11100,1148,34,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,1,0.52,-1,-1,1,-1,0,0
11100,1148,34,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,4,0.54,645,2,1,0,1,4383.157999953255
11100,1148,34,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,3,0.56,616,2,1,0,1,3766.5159997995943
11100,1148,34,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,2,0.68,740,1,1,1,0,3016.5459997951984
11101,1149,45,female,mturk,study6bp,3,3,0,0,0,0,0,1,1,8,0.42,716,2,2,1,5,5898.77400000114
11101,1149,45,female,mturk,study6bp,3,3,0,0,0,0,0,2,1,5,0.44,680,2,2,1,2,3616.0200000740588
11101,1149,45,female,mturk,study6bp,3,3,0,0,0,0,0,3,1,6,0.46,825,2,2,1,3,4299.0840000566095
11101,1149,45,female,mturk,study6bp,3,3,0,0,0,0,0,4,1,2,0.48,737,1,2,0,1,1033.1250000745058
11101,1149,45,female,mturk,study6bp,3,3,0,0,0,0,0,5,1,7,0.52,763,1,1,1,4,5132.318000076339
11101,1149,45,female,mturk,study6bp,3,3,0,0,0,0,0,6,1,1,0.54,1023,1,1,1,0,0
11101,1149,45,female,mturk,study6bp,3,3,0,0,0,0,0,7,1,4,0.56,1137,2,1,0,2,2466.427000006661
11101,1149,45,female,mturk,study6bp,3,3,0,0,0,0,0,8,1,3,0.68,674,1,1,1,1,1783.0730000277981
